seq_file,seq_root_file,site_code
Undetermined_S0_L001_R1_001.fastq.gz,Undetermined,UND
Undetermined_S0_L001_R2_001.fastq.gz,Undetermined,UND
UnDS_S51_L001_R1_001.fastq.gz,UnDS,UNT_D
UnDS_S51_L001_R2_001.fastq.gz,UnDS,UNT_D
UnUS1_S57_L001_R1_001.fastq.gz,UnUS1,UNT_U_1
UnUS1_S57_L001_R2_001.fastq.gz,UnUS1,UNT_U_1
UnUS2_S49_L001_R1_001.fastq.gz,UnUS2,UNT_U_2
UnUS2_S49_L001_R2_001.fastq.gz,UnUS2,UNT_U_2
VaDS_S82_L001_R1_001.fastq.gz,VaDS,VAL_D
VaDS_S82_L001_R2_001.fastq.gz,VaDS,VAL_D
VaUS1_S87_L001_R1_001.fastq.gz,VaUS1,VAL_U_1
VaUS1_S87_L001_R2_001.fastq.gz,VaUS1,VAL_U_1
VaUS2_S13_L001_R1_001.fastq.gz,VaUS2,VAL_U_2
VaUS2_S13_L001_R2_001.fastq.gz,VaUS2,VAL_U_2
ViDS_S38_L001_R1_001.fastq.gz,ViDS,VIL_D
ViDS_S38_L001_R2_001.fastq.gz,ViDS,VIL_D
ViUS1_S77_L001_R1_001.fastq.gz,ViUS1,VIL_U_1
ViUS1_S77_L001_R2_001.fastq.gz,ViUS1,VIL_U_1
ViUS2_S84_L001_R1_001.fastq.gz,ViUS2,VIL_U_2
ViUS2_S84_L001_R2_001.fastq.gz,ViUS2,VIL_U_2
ZuDS_S65_L001_R1_001.fastq.gz,ZuDS,ZUL_D
ZuDS_S65_L001_R2_001.fastq.gz,ZuDS,ZUL_D
ZuUS1_S74_L001_R1_001.fastq.gz,ZuUS1,ZUL_U_1
ZuUS1_S74_L001_R2_001.fastq.gz,ZuUS1,ZUL_U_1
ZuUS2_S59_L001_R1_001.fastq.gz,ZuUS2,ZUL_U_2
ZuUS2_S59_L001_R2_001.fastq.gz,ZuUS2,ZUL_U_2
